air_store_id,Model_No.,Selected_Model,Training_R2,Testing_R2,RMSLE
air_c2626f5f86d57342,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.837243006,0.835376741,0.476841878
air_650f9b9de0c5542c,model_4,"ARIMA(2,0,1)(2,1,0)[7]",0.593903243,0.83548841,0.476986003
air_cf2229e64408d9fe,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.832683688,0.760812566,0.477807719
air_4043b7ccfbffa732,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.830170806,0.932987306,0.477982632
air_07bb665f9cdfbdfb,model_5,"Regression with ARIMA(0,1,1)(1,0,1)[7] errors",0.885986576,0.885053575,0.478810571
air_5afb1cca48ceaa19,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.921960837,0.87619978,0.478858742
air_68d075113f368946,model_5,"Regression with ARIMA(1,0,1) errors",0.727012432,0.804734886,0.480286394
air_7cc17a324ae5c7dc,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.828085315,0.878017537,0.480369214
air_f2c5a1f24279c531,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.837041223,0.682334749,0.481245804
air_5d945ade487cdf4d,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.872116371,0.836775531,0.481332884
air_1e665503b8474c55,model_4,"ARIMA(0,1,2)(0,0,1)[7]",0.134115482,0.062694792,0.481448749
air_640cf4835f0d9ba3,model_5,"Regression with ARIMA(0,0,0) errors",0.402577635,0.299167796,0.483064435
air_3c05c8f26c611eb9,model_5,"Regression with ARIMA(0,1,1)(0,0,1)[7] errors",0.545813743,0.513541784,0.483942928
air_629d9935273c82ae,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.517464555,0.135160005,0.484065366
air_54d6c25d33f5260e,model_5,"Regression with ARIMA(0,0,0)(2,0,0)[7] errors",0.639551572,0.685770726,0.484128851
air_9b13c7feb0a0c431,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.869479968,0.791868288,0.484234439
air_6b2268863b14a2af,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.787852534,0.741772312,0.484381908
air_c7d30ab0e07f31d5,model_5,"Regression with ARIMA(1,1,1) errors",0.752942806,0.769186603,0.484545286
air_152c1f08d7d20e07,model_5,"Regression with ARIMA(0,0,0) errors",0.879322372,0.864545782,0.48469109
air_cf22e368c1a71d53,model_5,"Regression with ARIMA(0,0,0) errors",0.988466985,0.928268816,0.484751747
air_9d3482b4680aee88,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.797234634,0.845534639,0.48508926
air_c92745dfdd2ec68a,model_2,"STL +  ETS(A,N,N)",NA for STL,0.014373619,0.485267274
air_256be208a979e023,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.415366348,0.618908426,0.485723429
air_0e1eae99b8723bc1,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.848950055,0.831560947,0.485956916
air_abf06fcca748dca5,model_5,"Regression with ARIMA(0,1,1)(2,0,0)[7] errors",0.661249406,0.591492553,0.486689864
air_eca4a5a191e8d993,model_5,"Regression with ARIMA(0,0,0) errors",0.878893375,0.852349618,0.486895283
air_81c2600146d07d16,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.758473138,0.783230373,0.487348223
air_91236b89d29567af,model_1,"ETS(A,N,A)",0.428554704,0.194289595,0.487460986
air_8a1d21fad48374e8,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.902563235,0.815688151,0.488491467
air_2c6c79d597e48096,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.810467976,0.83400987,0.488568984
air_e0118664da63a2d0,model_5,"Regression with ARIMA(0,1,1) errors",0.888014505,0.86970941,0.488851314
air_4ce7b17062a1bf73,model_5,"Regression with ARIMA(1,0,0) errors",0.726918887,0.737293109,0.489062581
air_09fd1f5c58583141,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.80103121,0.748407888,0.489339057
air_9dd7d38b0f1760c4,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.747941878,0.544405503,0.489562865
air_a24bf50c3e90d583,model_5,"Regression with ARIMA(0,1,1)(2,0,0)[7] errors",0.607613679,0.336833289,0.48959171
air_638c35eb25e53eea,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.398377556,0.585526231,0.489720077
air_a563896da3777078,model_5,"Regression with ARIMA(3,1,1)(1,0,0)[7] errors",0.88801976,0.893111122,0.489753348
air_747f375eb3900e1e,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.851946508,0.764732886,0.490521547
air_e7d2ac6d53d1b744,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.908030271,0.822940628,0.490544671
air_c31472d14e29cee8,model_1,"ETS(A,Ad,A)",0.438202177,0.595238349,0.490707757
air_25e9888d30b386df,model_5,"Regression with ARIMA(0,1,1) errors",0.716375955,0.680281212,0.491158122
air_fbadf737162a5ce3,model_1,"ETS(A,N,A)",0.681054366,0.839886569,0.491171751
air_63e28ee0b0c955a7,model_1,"ETS(A,N,A)",0.603644997,0.755037643,0.491601042
air_fd154088b1de6fa7,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.819806255,0.698135234,0.4921398
air_3980af67be35afdb,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.77395945,0.865471597,0.492547412
air_4092cfbd95a3ac1b,model_1,"ETS(A,N,A)",0.108709693,0.507198888,0.492974758
air_083ddc520ea47e1e,model_5,"Regression with ARIMA(1,1,1)(1,0,1)[7] errors",0.8290487,0.909956579,0.493448014
air_5a9a6cbeeb434c08,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.73771738,0.771770229,0.494515729
air_2b8b29ddfd35018e,model_5,"Regression with ARIMA(0,1,1) errors",0.409168116,0.471887571,0.495018659
air_3e6cea17a9d2c0f1,model_2,"STL +  ETS(A,N,N)",NA for STL,0.284588204,0.495808425
air_10393f12e9069760,model_1,"ETS(A,N,A)",0.229565097,0.291164288,0.496047559
air_9c6787aa03a45586,model_5,"Regression with ARIMA(0,1,0)(0,0,1)[7] errors",0.89948698,0.954770131,0.496163582
air_b88192b35ac03c24,model_2,"STL +  ETS(A,N,N)",NA for STL,0.390628306,0.500600054
air_68cc910e7b307b09,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.808801706,0.778076256,0.500640096
air_a38f25e3399d1b25,model_5,"Regression with ARIMA(1,1,1) errors",0.545158155,0.866125618,0.500684775
air_c73d319ffabf287a,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.797672889,0.734403934,0.500782083
air_1979eaff8189d086,model_5,"Regression with ARIMA(0,0,0) errors",0.771630653,0.477942144,0.502627696
air_a9133955abccf071,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.839416926,0.469517876,0.502695737
air_57ed725a1930a5b9,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.795549239,0.704790893,0.503077359
air_5bd22f9cc1426a90,model_5,"Regression with ARIMA(1,1,1)(0,0,2)[7] errors",0.868127022,0.799642367,0.503295538
air_f85e21e543cf44f2,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.70997699,0.700997973,0.503614222
air_168441ada3e878e1,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.584719951,0.100978265,0.503704969
air_2634e41551e9807d,model_2,"STL +  ETS(A,A,N)",NA for STL,0.23077804,0.503717417
air_138ee734ac79ff90,model_1,"ETS(A,N,A)",0.604322984,0.700597618,0.505507932
air_0f2f96335f274801,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.630727973,0.660760267,0.505904127
air_7f9e15afafcf4c75,model_5,"Regression with ARIMA(0,0,1)(0,0,1)[7] errors",0.662186014,0.555135347,0.505978512
air_f0fb0975bdc2cdf9,model_5,"Regression with ARIMA(0,0,0) errors",0.530495993,0.479616908,0.506661535
air_9438d67241c81314,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.728837413,0.796977612,0.507187882
air_dbf64f1ce38c7442,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.535978754,0.672717828,0.507290721
air_c5459218282bedd5,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.728310901,0.773811548,0.507294603
air_d0a7bd3339c3d12a,model_5,"Regression with ARIMA(1,0,0) errors",0.88497012,0.967292114,0.507883117
air_4f762e840b3996e1,model_5,"Regression with ARIMA(0,0,0) errors",0.512893704,0.461975667,0.50822072
air_1509881b22965b34,model_5,"Regression with ARIMA(0,1,1) errors",0.822071926,0.903031266,0.508324649
air_645cb18b33f938cf,model_2,"STL +  ETS(A,N,N)",NA for STL,0.853462576,0.508671828
air_08cb3c4ee6cd6a22,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.49371829,0.722036427,0.509420146
air_88f31db64991768a,model_5,"Regression with ARIMA(0,0,0) errors",0.594385197,0.10028204,0.510079443
air_7ef9a5ea5c8fe39f,model_5,"Regression with ARIMA(1,1,1)(1,0,0)[7] errors",0.657795723,0.543817653,0.510481929
air_75864c80d2fb334a,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.701798938,0.631507891,0.510761036
